phoneme,duration,intensity
AH,300,4
TH,153,4
AY0,265,5
AH2,152,4
AH1,190,8
R,261,9
HH,110,7
UH1,190,6
CH,269,9
Y,281,9
AO0,117,4
ER1,224,7
AE,117,4
Y,155,5
AE2,125,5
IY2,296,5
EY1,160,5
OY0,160,7
AY,275,6
L,124,7
OY0,173,7
EY0,135,4
ER1,291,4
ZH,169,6
IY,231,8
UH0,237,4
AA,172,8
UW0,205,9
OW1,264,8
Z,253,9
AY2,274,5
EY,264,9
AH,219,8
AY1,154,7
OY0,219,8
D,178,7
D,118,8
AW2,282,6
AA0,160,9
AA2,144,9
AY1,271,4
OY2,215,9
AY1,236,4
IH0,157,7
AY0,135,9
AE,265,7
ER,146,5
DH,295,5
ER,101,8
UW1,220,6
NG,199,7
UW,220,8
UH0,241,9
AO0,264,4
IH,161,9
Z,207,8
IY0,233,7
AH1,265,5
AH,286,6
EH2,117,6
T,263,6
M,193,8
AO1,268,6
AO0,147,9
IY1,108,9
EY2,137,6
ER1,197,8
IY,287,8
AY1,100,8
NG,294,6
EH,211,8
UH1,156,7
IH,110,4
UH2,244,5
EY1,176,9
SH,141,7
IH,177,4
EH,226,5
OW2,249,4
AY2,238,6
UW2,197,4
AE,245,5
IY0,262,8
Y,220,9
IY0,176,4
OY0,208,8
UH1,173,5
UH1,147,6
V,180,6
EY2,156,9
W,285,6
ZH,269,9
AY2,212,6
IH,283,7
S,119,5
DH,159,4
V,269,4
EY0,211,7
AW2,200,7
UH2,181,9
AW2,291,6
AW2,153,6
EY1,231,9
G,111,5
EH0,118,7
HH,270,8
AW,213,7
AH2,136,8
AH2,275,9
UW,100,4
IH0,285,7
EH0,281,4
IH,281,5
AW2,237,7
IY2,215,6
B,189,5
T,159,9
K,248,5
ER,184,9
EH1,135,5
AY1,140,7
AH1,271,7
AE2,248,7
M,183,6
OW1,166,6
Y,286,8
IH,243,4
K,268,7
AY0,140,8
AO1,103,8
AH0,231,6
IY0,216,8
IH,264,9
UH0,214,4
OY0,241,9
IY1,262,9
AE1,222,6
OW,166,4
AY,280,7
IY1,269,5
AE2,154,6
ER1,210,8
IH1,111,6
AE,177,6
EH2,174,6
IH2,111,9
OY2,300,7
N,166,6
AO,113,5
R,191,8
IH0,266,9
ER0,274,4
IH1,227,6
AW1,209,5
AH0,207,7
OY1,251,5
ER2,270,6
F,140,5
OW1,140,6
OW,239,4
UW1,292,7
OW0,271,4
M,103,6
OW,179,8
N,296,5
AO2,176,4
AO2,197,7
AH1,149,8
AW2,254,7
F,247,5
N,116,7
EY2,226,7
IY,120,6
EY0,128,8
AE,117,9
OW2,158,4
OW0,178,4
AY1,271,5
AE0,113,4
AA0,227,9
OY,100,8
K,111,7
OY2,266,5
AW0,150,8
AO0,163,9
OY,295,8
AY2,292,8
R,289,7
AW1,257,6
K,209,5
AE,240,7
OY,287,8
EY0,237,5
EH0,126,8
S,267,7
P,235,9
M,180,5
AO1,156,5
TH,136,4
AA1,138,6
AY2,267,4
DH,158,9
AE1,168,7
OW,194,6
K,132,6
W,137,9
AW1,216,9
AO2,104,7
AY1,288,6
AO0,223,7
S,217,5
OW0,261,4
AO2,179,5
AE1,292,6
EH,206,7
R,258,4
SH,269,8
AO0,172,8
OY0,235,7
OY1,170,4
AA,196,8
EY,214,8
W,254,7
OY1,134,9
L,261,9
R,240,8
OY0,129,4
P,236,4
IH1,112,7
ER2,238,7
W,258,9
AO2,125,6
AY0,118,9
EY,246,9
TH,159,6
UW2,253,6
OW1,213,5
OY2,194,8
N,267,8
NG,134,6
AY1,265,6
UW1,117,6
IY1,220,7
ER,280,9
M,117,6
AE1,267,4
AY1,292,4
EH2,240,8
AO,116,6
AO0,122,6
N,258,4
IY,108,5
OY0,157,7
UH2,240,4
EH0,300,5
OY,286,9
AO2,136,9
AW2,299,6
CH,198,9
AW0,171,7
P,138,4
UH,191,8
P,208,7
UW0,215,9
UH2,162,5
W,101,7
OY2,293,5
IH0,271,4
UW0,117,8
R,245,7
OY2,150,8
OW0,230,5
ER0,202,8
TH,265,5
AA,137,6
OY,183,9
NG,147,8
L,144,6
AY1,184,9
UH2,236,6
R,113,9
OW2,220,7
NG,130,4
IH0,117,6
OY,281,8
EH1,235,6
AW,122,5
AY0,240,8
ER2,185,4
AW0,173,9
AO1,255,7
AY,198,8
R,223,7
AO,239,4
AH2,243,4
ER1,205,8
AE,179,4
AO1,107,4
Y,244,8
NG,299,4
AY0,210,9
R,224,6
AW0,233,9
OW0,135,4
NG,128,4
DH,297,6
OW2,139,5
T,180,8
AA2,244,9
AA,236,4
OW,164,4
Y,252,4
G,201,4
AW2,214,7
R,294,7
AH0,192,6
CH,120,9
OW2,228,5
AH,171,8
EY0,109,4
AA1,113,5
V,120,8
AE1,132,8
AE0,296,8
ER1,245,8
V,286,7
F,137,8
L,135,8
OW0,299,8
AE1,259,8
AA1,228,5
Z,224,6
AY2,204,5
UH2,256,8
IY2,210,6
SH,201,6
AE,241,4
ER0,260,8
M,235,6
K,100,8
CH,208,6
B,141,8
K,202,9
Y,100,9
EY,134,8
V,110,7
EY,279,5
AA1,200,4
AH,194,7
AE,218,6
TH,125,9
N,128,8
EH2,138,9
OW1,242,6
ER0,217,9
AO2,146,6
NG,284,6
D,226,6
JH,135,6
OY,278,7
UH2,212,6
OY2,122,5
OY0,299,5
AH2,298,8
JH,159,8
Z,119,4
TH,168,4
AA,195,9
IY,165,7
HH,163,4
UW0,196,8
B,274,6
AA2,286,6
OW0,134,7
OY2,182,8
IH0,193,9
EY0,173,7
JH,173,8
AH1,226,7
T,278,6
AE0,104,9
ER,219,5
F,159,9
EH0,247,7
JH,227,5
IH2,289,8
AO1,168,7
OY,127,6
HH,164,7
JH,251,4
W,147,5
R,237,7
AH0,221,8
DH,105,6
UW1,163,6
W,249,7
AE,215,8
AW0,294,5
UH2,101,8
IY2,229,4
AH2,136,6
AW1,114,8
AH2,200,5
AW1,200,6
EY0,296,8
OW2,183,4
AY2,227,9
G,244,8
AE1,141,6
AH2,105,9
W,127,6
OW1,234,7
IH1,179,9
P,155,6
EH0,284,4
IH1,162,9
V,240,4
W,141,7
UW,297,5
ER,175,4
ER2,166,6
EH1,159,4
JH,258,7
CH,292,9
AH,237,5
HH,119,9
EH1,193,8
OY1,173,8
