phoneme,duration,intensity
P,279,8
NG,243,5
AY1,164,7
UH,102,4
IY0,299,7
AW,274,6
Z,109,9
OY,225,6
TH,269,7
AO2,284,7
UW1,297,8
EY1,242,9
OY,220,7
S,120,5
EY1,149,5
ER,212,4
AO,226,6
AY2,163,5
DH,237,6
AA1,247,8
ER1,211,4
DH,269,5
OW,216,5
P,248,6
IY0,239,9
IY2,231,8
R,104,6
AA,170,9
IH1,292,4
L,185,7
L,200,5
CH,104,8
G,247,5
D,176,5
B,213,5
UW0,172,8
Y,292,6
Z,239,7
AH2,289,9
EH2,193,5
UW0,268,6
AE0,126,5
AH1,135,4
AH,262,5
AE0,207,7
K,177,9
R,123,6
AO2,271,4
UW2,287,6
F,245,8
AY0,217,7
AW0,245,9
IY,144,8
IY0,175,9
AO1,236,5
IH2,101,5
AE2,183,9
EY2,296,8
AW,212,4
AE2,148,5
OY2,240,4
F,143,4
ER1,274,9
AW0,244,6
AA,252,8
AO2,255,5
UH1,169,4
AY2,169,4
SH,195,5
T,101,4
ER2,131,8
HH,262,6
SH,247,9
M,188,7
IY2,128,9
AY,255,6
AW0,191,7
AY0,280,4
IY2,228,8
EY1,160,9
AH,297,5
IY1,269,6
EH2,176,4
AH0,232,5
IY2,122,9
AW,128,9
UW0,199,9
CH,110,9
AW1,145,8
B,110,9
S,126,7
UH1,132,4
AE1,210,9
OW,130,5
EY2,182,8
AH,231,4
K,168,9
ER2,271,4
UW0,162,5
NG,152,7
JH,281,8
IH,100,8
IY,177,7
AY2,277,7
IY1,138,4
UW2,298,6
T,133,5
L,181,6
OW2,206,7
K,117,9
AH0,115,8
Z,107,7
IH0,221,5
B,276,6
AO1,122,9
OW0,142,4
AA0,295,5
OW0,233,8
AE,256,6
L,278,6
SH,101,7
P,300,4
JH,198,5
OY1,191,5
OW0,153,9
AE1,297,5
AE1,139,5
UW0,196,4
W,203,8
OW2,201,8
AE2,130,9
CH,201,7
IH1,298,6
AA,295,8
UW1,187,5
UW2,170,9
V,202,5
Z,105,5
N,262,9
L,136,6
AY0,143,6
R,170,9
UH,167,5
V,209,4
V,229,8
EY0,175,4
SH,173,7
AW,143,4
AE2,140,5
UW1,285,7
NG,116,5
NG,287,9
IY0,228,7
OY0,139,5
